scientific_name,datetime,description,place_guess,latitude,longitude,tag_list,url,user_login,positional_accuracy,geoprivacy,captive_cultivated,genus,id,flowering
Angophora costata,2016-02-18 15:10:00 +1100,Rad tree growing horizontally along a crack in a rock ledge.  ,"Lane Cove National Park, New South Wales, Australia",-33.73574297,151.0896599,smooth-barked apple,http://www.inaturalist.org/observations/3783479,sea-kangaroo,179,,FALSE,Angophora,3783479,0
Angophora costata,2016-02-22 11:21:00 +1100,,"Ku-Ring-Gai Chase National Park, New South Wales, Australia",-33.62406282,151.1550361,smooth-barked apple,http://www.inaturalist.org/observations/3849179,sea-kangaroo,59,,FALSE,Angophora,3849179,0
Angophora costata,2016-10-04 10:21:00 +1100,          ,"New South Wales, Australia",-34.08696833,151.05686,,http://www.inaturalist.org/observations/4390657,paloma,NA,,FALSE,Angophora,4390657,0
Angophora costata,2017-04-14 11:53:40 +1000,"Various red gums - many present in garigal national park. Reddish/ pink bark, 'craggly' branches","Garigal National Park, St Ives, NSW, AU",-33.72707833,151.182695,,https://www.inaturalist.org/observations/5712685,joeymorto,NA,,FALSE,Angophora,5712685,1
Angophora costata,2017-04-16 11:30:15 +1000,Number of trees growing in highly disturbed bushland ,"52 Wentworth Road, Vaucluse, NSW, AU",-33.85391498,151.2682707,,https://www.inaturalist.org/observations/5743207,alasdair_scott,5,,FALSE,Angophora,5743207,0
Angophora costata,2017-04-15 11:18:00 +1000,,"Lesley Ave, Carlingford NSW 2118, Australia",-33.778164,151.032715,,https://www.inaturalist.org/observations/5851369,tranr96,NA,,FALSE,Angophora,5851369,0
Angophora costata,2017-04-30 08:35:00 +1000,"Field Notes -  Genus : Angophora
Cav.
 Large tree with twisted limbs.
","New South Wales, AU",-33.54770974,151.3346791,,https://www.inaturalist.org/observations/6015628,david_boccalatte,NA,obscured,FALSE,Angophora,6015628,0
Angophora subvelutina,2017-09-06 14:26:00 +1000,,"Barrington River Reserve,  NSW 2422, Australia",-31.97214942,151.9008189,,https://www.inaturalist.org/observations/7804697,vicfazio3,8,,FALSE,Angophora,7804697,0
Angophora leiocarpa,2016-11-17 09:30:00 +1000,,"33 Ray Myers Rd, Imbil QLD 4570, Australia",-26.4443374,152.6819622,,https://www.inaturalist.org/observations/7972384,ianmcmillan,250,,FALSE,Angophora,7972384,0
Angophora hispida,2017-09-26 11:55:38 +1000,,"Unit 18/62 Wunulla Rd, Point Piper NSW 2027, Australia",-33.85815315,151.2579729,,https://www.inaturalist.org/observations/8100634,kinow,516,,FALSE,Angophora,8100634,2
Angophora hispida,2017-11-01 07:05:00 +1100,,"New South Wales, AU",-34.080432,151.094482,,https://www.inaturalist.org/observations/8636202,twspetap,NA,,FALSE,Angophora,8636202,2
Angophora costata,2018-01-01 11:52:41 +1100,,"Hornsby - North, AU-NS, AU",-33.67397257,151.1099728,,https://www.inaturalist.org/observations/9327978,smcleod,4000,,FALSE,Angophora,9327978,0
Angophora costata,2018-01-21 13:20:32 +1100,,"Berry Island Reserve, Wollstonecraft, NSW, AU",-33.838755,151.1890717,,https://www.inaturalist.org/observations/9545966,greenmthort,5,,FALSE,Angophora,9545966,0
Angophora costata,2018-04-14 09:07:00 +1000,,"North Turramurra NSW 2074, Australia",-33.66497101,151.1555779,,https://www.inaturalist.org/observations/10891321,stellap,61,,FALSE,Angophora,10891321,0
Angophora floribunda,2018-05-12 07:15:44 +1000,I think,"Mulgoa NSW 2745, Mulgoa, NSW, AU",-33.78535877,150.6482598,,https://www.inaturalist.org/observations/12362043,cumberlandplain,5,,FALSE,Angophora,12362043,2
Angophora costata,2018-05-20 11:41:32 +1000,,"Lagoon Trail, Dudley NSW 2290, Australia",-32.99620084,151.728059,,https://www.inaturalist.org/observations/12625012,peterdavey,8,,FALSE,Angophora,12625012,0
Angophora costata,2018-05-19 13:39:29 +1000,,"Bouddi National Park, Bouddi, NSW, AU",-33.51341667,151.391525,,https://www.inaturalist.org/observations/12657509,lsell,5,,FALSE,Angophora,12657509,0
Angophora costata,2018-05-26 11:00:21 +1000,,"Bouddi National Park, Box Head, NSW, AU",-33.53778,151.3485867,,https://www.inaturalist.org/observations/12884404,lsell,5,,FALSE,Angophora,12884404,1
Angophora costata,2018-06-13 14:36:43 +1000,,"Birdwood Gully Reserve, Springwood, NSW, AU",-33.698625,150.5613417,,https://www.inaturalist.org/observations/13386343,rocoron,6,,FALSE,Angophora,13386343,0
Angophora costata,2018-06-14 09:28:00 +1000,,"New South Wales, AU",-33.42583466,151.284729,,https://www.inaturalist.org/observations/13652308,regb,NA,,FALSE,Angophora,13652308,0
Angophora hispida,2018-07-29 09:34:00 +1000,,"Bairne Trail,  Ku-Ring-Gai Chase NSW 2084, Australia",-33.61102778,151.2788556,"plant, Sydney, Australia",https://www.inaturalist.org/observations/14871797,stellap,6,,FALSE,Angophora,14871797,0
Angophora costata,2018-10-13 15:00:52 +1000,,"135A Patonga Drive, Pearl Beach, NSW, AU",-33.53660333,151.308045,,https://www.inaturalist.org/observations/17527714,dbmcc09,6,,FALSE,Angophora,17527714,0
Angophora hispida,2018-11-20 16:06:27 +1100,Not 100% about this one,"10 Wharf Rd, Vaucluse NSW 2030, Australia",-33.84690857,151.2796326,,https://www.inaturalist.org/observations/18533779,twan3253,NA,,FALSE,Angophora,18533779,1
Angophora hispida,2018-12-11 08:54:14 +1100,,"Forestville War Memorial Playing Fields, Forestville, NSW, AU",-33.76667227,151.2087509,,https://www.inaturalist.org/observations/18969220,peterzoo,19,,FALSE,Angophora,18969220,1
Angophora floribunda,2018-12-04 17:20:05 +1100,,"Croajingolong, E. Gippsland - Orbost, AU-VI, AU",-37.4909,149.682,,https://www.inaturalist.org/observations/19095379,w_martin,150,,FALSE,Angophora,19095379,0
Angophora floribunda,2018-12-04 17:58:35 +1100,,"Croajingolong, E. Gippsland - Orbost, AU-VI, AU",-37.4911,149.6811,,https://www.inaturalist.org/observations/19096475,w_martin,150,,FALSE,Angophora,19096475,2
Angophora floribunda,2018-12-05 13:57:15 +1100,,"Croajingolong, E. Gippsland - Orbost, AU-VI, AU",-37.4663,149.7478,,https://www.inaturalist.org/observations/19110312,w_martin,150,,FALSE,Angophora,19110312,0
Angophora floribunda,2018-12-05 16:47:55 +1100,,"Croajingolong, E. Gippsland - Orbost, AU-VI, AU",-37.517529,149.605318,,https://www.inaturalist.org/observations/19111250,w_martin,150,,FALSE,Angophora,19111250,0
Angophora floribunda,2018-12-06 07:32:22 +1100,,"E. Gippsland - Orbost, AU-VI, AU",-37.417049,149.628153,,https://www.inaturalist.org/observations/19261255,w_martin,200,,FALSE,Angophora,19261255,0
Angophora floribunda,2018-12-06 08:31:57 +1100,,"E. Gippsland - Orbost, AU-VI, AU",-37.421159,149.644188,,https://www.inaturalist.org/observations/19261491,w_martin,200,,FALSE,Angophora,19261491,0
Angophora costata,2018-12-30 20:10:00 +1100,"Sighting and photos (c) manny_j.
","New South Wales, AU",-34.1694725,151.1167366,,https://www.inaturalist.org/observations/19307521,questagame,NA,obscured,FALSE,Angophora,19307521,0
Angophora costata,2019-01-04 07:14:00 +1000,,"Hawks Nest NSW 2324, Australia",-32.6798531,152.1621394,,https://www.inaturalist.org/observations/19408660,imcmaster,1605,,FALSE,Angophora,19408660,0
Angophora costata,2019-01-07 14:34:14 +1100,,"Karloo Pools Walking Track E, Royal National Park NSW 2233, Australia",-34.09148026,151.0297852,,https://www.inaturalist.org/observations/19485777,alexccfarias,NA,,FALSE,Angophora,19485777,0
Angophora hispida,2008-11-02 06:45:00 +0000,Don't remember the exact location.,"Ku-Ring-Gai Chase, NSW, Australia",-33.5820996,151.3078565,,https://www.inaturalist.org/observations/19757402,carmenbdelossantos,200,,FALSE,Angophora,19757402,1
Angophora costata,2008-11-02 05:11:00 +0000,Don't remember the exact location.,"Ku-Ring-Gai Chase, NSW, Australia",-33.5820996,151.3078565,,https://www.inaturalist.org/observations/19757773,carmenbdelossantos,200,,FALSE,Angophora,19757773,0
Angophora floribunda,2019-01-22 13:55:48 +1100,,311 Megalong Place,-33.65326546,150.1638671,,https://www.inaturalist.org/observations/19793206,rushecology,5,,FALSE,Angophora,19793206,1
Angophora subvelutina,2019-01-20 08:51:00 +1100,,"Yarrowitch NSW 2354, Australia",-31.03745,152.10185,,https://www.inaturalist.org/observations/19797623,nicklambert,NA,,FALSE,Angophora,19797623,0
Angophora floribunda,2019-01-29 06:02:00 +1100,"Sighting and photos (c) ayesha_tulloch.
Field Notes - Tree approx 12 m tall with pendulous branches, lots of sweet smelling flowers","New South Wales, AU",-34.67713177,150.4434904,,https://www.inaturalist.org/observations/19937114,questagame,NA,obscured,FALSE,Angophora,19937114,2
Angophora bakeri,2015-08-21 13:29:00 +1000,,"Sydney NSW, Australia",-33.79064148,151.008124,,https://www.inaturalist.org/observations/20164647,joelp,6,,FALSE,Angophora,20164647,0
Angophora costata,2017-04-20 15:40:00 +1000,,"Sydney NSW, Australia",-33.79188082,151.0131838,,https://www.inaturalist.org/observations/20164652,joelp,15,,FALSE,Angophora,20164652,0
Angophora subvelutina,2019-01-26 06:08:00 +1000,3562/3/4/5  on Qld Naturalists' excursion. leaves sessile,"Cullendore NSW 2372, Australia",-28.5004374,152.1173072,,https://www.inaturalist.org/observations/20297440,nyoni-pete,1472,,FALSE,Angophora,20297440,1
Angophora costata,2019-03-02 14:48:25 +1100,,"Bouddi Coastal Walk, Bouddi NSW 2251, Australia",-33.52849197,151.3832397,,https://www.inaturalist.org/observations/20869387,charlotteelliott,NA,,FALSE,Angophora,20869387,0
Angophora woodsiana,2019-03-23 16:44:05 +1000,Leaf sample from single large old tree with rough bark. Leaves opposite and petiolate.,"Sheehans Rd, Gootchie QLD 4650, Australia",-25.86568076,152.5773599,,https://www.inaturalist.org/observations/21622131,aavankampen,66,,FALSE,Angophora,21622131,0
Angophora crassifolia,2019-03-06 03:00:00 -1000,,"Gov Phillip Lookout, Beacon Hill,Sydney NSW, Australia",-33.75405952,151.2643786,,https://www.inaturalist.org/observations/21657380,peterzoo,2,,FALSE,Angophora,21657380,2
Angophora costata,2019-04-02 14:09:59 +1100,,"Little Sugarloaf Rd, Wamban NSW 2537, Australia",-35.96416855,150.0075073,,https://www.inaturalist.org/observations/21898590,steve818,NA,,FALSE,Angophora,21898590,0
Angophora costata,2019-04-20 10:57:00 +1000,,"The Domain, Sydney, NSW, AU",-33.86732204,151.2178461,,https://www.inaturalist.org/observations/22734855,peterzoo,10,,FALSE,Angophora,22734855,2
Angophora costata,2019-05-11 10:41:00 +1000,Looked to have distinctive fruit,"Gunderman NSW 2775, Australia",-33.40025086,151.0508024,,https://www.inaturalist.org/observations/25108509,nicklambert,8,,FALSE,Angophora,25108509,0
Angophora leiocarpa,2019-05-19 10:30:11 +1000,"Angophera leiocarpa 
","Cooloola (excl. Gympie), Great Sandy, AU-QL, AU",-25.95519755,153.0994605,,https://www.inaturalist.org/observations/25362714,disneg,9,,FALSE,Angophora,25362714,0
Angophora costata,2019-05-19 14:24:27 +1000,,"Royal National Park NSW 2233, Australia",-34.08479072,151.0566698,,https://www.inaturalist.org/observations/25376137,victoria264,66,,FALSE,Angophora,25376137,0
Angophora leiocarpa,2019-08-04 14:01:22 +1000,,"Tara, AU-QL, AU",-27.20510474,149.6555333,,https://www.inaturalist.org/observations/30160323,spookpadda,24,,FALSE,Angophora,30160323,0
Angophora floribunda,2019-08-04 15:34:08 +1000,,"Tara, AU-QL, AU",-27.20668648,149.6628203,,https://www.inaturalist.org/observations/30160560,spookpadda,8,,FALSE,Angophora,30160560,0
Angophora costata,2008-11-16 00:00:00 +0000,,"Putty Rd, Colo Heights NSW 2756, Australia",-33.33778359,150.7040708,,https://www.inaturalist.org/observations/30533569,andrew_thornhill,1561,,FALSE,Angophora,30533569,1
Angophora hispida,2014-12-18 00:00:00 +1000,"Angophora hispida
Identified as Angophora hispida on <a href=""http://www.bowerbird.org.au/observations/39247"">Bowerbird</a> by Judy & Rob Peters","Garigal National Park, Cascades Track, Belrose NSW 2085, Australia",-33.7302141,151.1922366,,https://www.inaturalist.org/observations/30718416,judy_rob_peters,NA,,FALSE,Angophora,30718416,1
Angophora hispida,2009-11-23 12:59:00 +1030,,"Ku-Ring-Gai Chase NSW 2084, Australia",-33.6289,151.2036,,https://www.inaturalist.org/observations/30722573,andrew_thornhill,50,,FALSE,Angophora,30722573,0
Angophora hispida,2019-08-18 16:21:00 +1000,,"Sutherland Shire - West, Royal, AU-NS, AU",-34.104638,151.034519,,https://www.inaturalist.org/observations/31190750,ronavery,219,,FALSE,Angophora,31190750,2
Angophora floribunda,2019-08-10 17:13:05 +1000,,"Bungil, AU-QL, AU",-26.43181078,148.6352572,,https://www.inaturalist.org/observations/31504000,spookpadda,16,,FALSE,Angophora,31504000,2
Angophora leiocarpa,2019-08-27 15:36:00 +1000,,"Talegalla Weir QLD 4650, Australia",-25.78979796,152.6961436,,https://www.inaturalist.org/observations/31598420,scottwgavins,8,,FALSE,Angophora,31598420,0
Angophora costata,2019-08-28 11:48:09 +1000,,"Anzac Avenue Reserve, Collaroy, NSW, AU",-33.73583323,151.2964369,,https://www.inaturalist.org/observations/31714777,becmilner,7,,FALSE,Angophora,31714777,0
Angophora costata,2019-09-03 17:33:33 +1000,The description sign says so ;),"Lindfield NSW 2070, Australia",-33.78679657,151.1495667,,https://www.inaturalist.org/observations/32404788,twan3253,NA,,FALSE,Angophora,32404788,0
Angophora costata,2019-09-21 14:45:00 +1000,"Tree on left of ""arch""","Newcastle NSW, Australia",-32.99727072,151.7290934,,https://www.inaturalist.org/observations/33118632,tonydiver,144,,FALSE,Angophora,33118632,0
Angophora bakeri,2019-10-13 14:30:51 +1100,,"Long Point, NSW, AU",-34.0185,150.9010783,,https://www.inaturalist.org/observations/34288969,gtaseski,7,,FALSE,Angophora,34288969,2
Angophora floribunda,2019-10-13 12:44:00 +1000,,"Amiens QLD 4380, Australia",-28.62956156,151.8000009,,https://www.inaturalist.org/observations/34398208,hannatree,20,,FALSE,Angophora,34398208,0
Angophora subvelutina,2019-10-17 00:00:00 +0000,Alluvium off Alice Creek ,"Seventeen Mile QLD 4344, Australia",-27.46662219,152.1434944,,https://www.inaturalist.org/observations/34488680,martinbennett,NA,,FALSE,Angophora,34488680,0
Angophora hispida,2008-09-02 15:55:00 +1000,,"Ku-Ring-Gai Chase NSW 2084, Australia",-33.66654489,151.2303936,,https://www.inaturalist.org/observations/34863757,tange,8,,FALSE,Angophora,34863757,0
Angophora hispida,2019-10-27 18:06:00 +1100,,"Balgowlah Heights NSW 2093, Australia",-33.80929565,151.2741241,,https://www.inaturalist.org/observations/34953649,samuel_hayley,NA,,FALSE,Angophora,34953649,2
Angophora hispida,2019-11-02 00:00:00 +0000,,Balgowlah Heights,-33.80921995,151.2689136,,https://www.inaturalist.org/observations/35185300,clyne,NA,,FALSE,Angophora,35185300,2
Angophora woodsiana,2019-11-04 00:00:00 +0000,"Smudgee, 12.9-10.19 E. fibrosa fibrosa woodland","Fordsdale QLD 4343, Australia",-27.71988608,152.09105,,https://www.inaturalist.org/observations/35280575,martinbennett,NA,,FALSE,Angophora,35280575,2
Angophora hispida,2019-11-06 13:09:00 +1100,,"Garigal, Ku-ring-gai, New South Wales, Australia",-33.71996333,151.187365,,https://www.inaturalist.org/observations/35394034,thebeachcomber,NA,,FALSE,Angophora,35394034,0
Angophora hispida,2019-11-10 13:58:10 +1100,,"Brisbane Water National Park, Kariong, NSW, AU",-33.45538,151.30548,,https://www.inaturalist.org/observations/35565520,taylorstein,5,,FALSE,Angophora,35565520,2
Angophora costata,2019-11-14 10:10:32 +1100,,"Artarmon Reserve, Artarmon, NSW, AU",-33.81038175,151.1905095,,https://www.inaturalist.org/observations/35656514,maryannirvin,16,,FALSE,Angophora,35656514,0
Angophora costata,2019-11-16 10:44:39 +1100,,"Barry Park, Fingal Bay, NSW, AU",-32.74932833,152.1735533,,https://www.inaturalist.org/observations/35719957,ted19,5,,FALSE,Angophora,35719957,1
Angophora hispida,2019-11-26 07:49:40 +1100,,"Holly Street, Castle Cove, NSW, AU",-33.78256838,151.2014993,,https://www.inaturalist.org/observations/36072042,shuetrim,4,,FALSE,Angophora,36072042,1
Angophora leiocarpa,2019-12-01 06:11:55 +1000,I saw this Eucalyptus tree was part of the vegetation around the Tarrigindi reservoir. I don't think it's native to the area but cannot be sure it was planted.,"Tarragindi Road, Tarragindi, QLD, AU",-27.5278563,153.0335818,,https://www.inaturalist.org/observations/36280750,demi-rose,50,,FALSE,Angophora,36280750,1
Angophora hispida,2014-12-01 15:59:00 -0500,,"Royal National Park NSW 2233, Australia",-34.09244633,151.136923,,https://www.inaturalist.org/observations/36363307,ryruther,4,,FALSE,Angophora,36363307,1
Angophora costata,2014-12-01 16:23:00 -0500,,"Royal National Park NSW 2233, Australia",-34.09244417,151.1369069,,https://www.inaturalist.org/observations/36363309,ryruther,1,,FALSE,Angophora,36363309,0
Angophora floribunda,2019-12-10 15:53:59 +1100,,"Grants Beach, NSW, AU",-31.62158,152.8323667,,https://www.inaturalist.org/observations/36523835,thebeachcomber,NA,,FALSE,Angophora,36523835,1
Angophora hispida,2019-12-16 13:25:21 +1100,Flower,"Warringah, AU-NS, AU",-33.77745536,151.2485077,,https://www.inaturalist.org/observations/36694540,jey42,8,,FALSE,Angophora,36694540,1
Angophora costata,2019-12-19 11:58:49 +1100,,"Miranda NSW 2228, Australia",-34.03985596,151.1043396,,https://www.inaturalist.org/observations/36765361,porcoespinho15,NA,,FALSE,Angophora,36765361,0
Angophora hispida,2018-11-03 09:17:31 +1100,,"Royal National Park NSW 2233, Australia",-34.09411621,151.0469666,,https://www.inaturalist.org/observations/36783057,porcoespinho15,NA,,FALSE,Angophora,36783057,2
Angophora woodsiana,2019-12-22 08:41:55 +1000,,"Toohey Forest Park, Nathan, QLD, AU",-27.5450612,153.0525965,,https://www.inaturalist.org/observations/36836234,kimmie0987,9,,FALSE,Angophora,36836234,1
Angophora costata,2019-12-22 10:12:00 +1000,,"Hawks Nest NSW 2324, Australia",-32.59268467,152.2451806,,https://www.inaturalist.org/observations/36844597,imcmaster,864,,FALSE,Angophora,36844597,0
Angophora costata,2019-12-23 08:32:17 +1100,,"Royal National Park NSW 2233, Australia",-34.16008377,151.0596619,,https://www.inaturalist.org/observations/36875899,porcoespinho15,NA,,FALSE,Angophora,36875899,0
Angophora woodsiana,2019-12-26 08:54:17 +1000,,"Toohey Forest Park, Nathan, QLD, AU",-27.54021337,153.0497935,,https://www.inaturalist.org/observations/36950659,kimmie0987,11,,FALSE,Angophora,36950659,0
Angophora hispida,2019-12-26 18:08:49 +1100,,"Berowra Valley Regional Park, Hornsby Heights, NSW, AU",-33.65903833,151.0942222,,https://www.inaturalist.org/observations/36961080,zkon,4,,FALSE,Angophora,36961080,1
Angophora hispida,2019-12-26 17:08:25 +1100,,"Loftus NSW 2232, Australia",-34.05870056,151.0343933,,https://www.inaturalist.org/observations/36963933,porcoespinho15,NA,,FALSE,Angophora,36963933,1
Angophora hispida,2020-01-12 09:01:44 +1100,,"Royal National Park NSW 2233, Australia",-34.06879807,151.0554504,,https://www.inaturalist.org/observations/37515939,porcoespinho15,NA,,FALSE,Angophora,37515939,1
Angophora costata,2020-01-02 10:52:29 +1100,,"""Clontarf Point, Sydney, Australia""",-33.810376,151.253817,class-bulkobservationfile-user_id-356301-filename-sydney13-csv-project_id-2020-01-11 23:45:10 -0800.csv,https://www.inaturalist.org/observations/37516225,eschlogl,NA,,FALSE,Angophora,37516225,0
Angophora costata,2020-01-12 09:29:40 +1100,,"Royal National Park NSW 2233, Australia",-34.07165909,151.0554047,,https://www.inaturalist.org/observations/37517077,porcoespinho15,NA,,FALSE,Angophora,37517077,0
Angophora costata,2020-01-13 09:50:37 +1100,,"Girrahween Park, Earlwood, NSW, AU",-33.93003833,151.1282362,,https://www.inaturalist.org/observations/37538764,clarieb,10,,FALSE,Angophora,37538764,0
Angophora bakeri,2020-01-15 03:18:33 +1100,,"Gwarra Reserve, Forestville, NSW, AU",-33.75750333,151.207655,,https://www.inaturalist.org/observations/37605266,cnagle,NA,,FALSE,Angophora,37605266,1
Angophora hispida,2020-01-15 14:31:20 +1100,,"Gwarra Reserve, Forestville, NSW, AU",-33.75723667,151.2084667,,https://www.inaturalist.org/observations/37605612,cnagle,NA,,FALSE,Angophora,37605612,0
Angophora costata,2020-01-26 08:27:58 +1100,,"Royal National Park NSW 2233, Australia",-34.07609583,151.0543477,,https://www.inaturalist.org/observations/37979758,porcoespinho15,NA,,FALSE,Angophora,37979758,0
Angophora leiocarpa,2020-01-27 09:29:00 +1000,5580/1/2,"Berrinba Wetlands, Brisbane QLD, Australia",-27.6637589,153.0763689,,https://www.inaturalist.org/observations/38018524,nyoni-pete,1000,,FALSE,Angophora,38018524,0
Angophora subvelutina,2019-12-26 00:00:00 +1000,"48 days after the bushfire.
This species showed the most regrowth on many individual trees and many of those had even begun flowering.",Mann River Nature Reserve,-29.688124,152.10015,,https://www.inaturalist.org/observations/38110712,bush-tj,14,,FALSE,Angophora,38110712,1
Angophora subvelutina,2020-02-01 08:42:00 +1000,Flood plain,"Mount Mort QLD 4340, Australia",-27.80334164,152.4178,,https://www.inaturalist.org/observations/38174033,martinbennett,NA,,FALSE,Angophora,38174033,0
Angophora costata,2020-02-02 15:25:23 +1100,,"Burragorang Road, Nattai, NSW, AU",-34.060275,150.4644783,,https://www.inaturalist.org/observations/38211939,gtaseski,4,,FALSE,Angophora,38211939,0
Angophora costata,2020-02-02 15:14:57 +1100,Canopy largely intact.,"Burragorang State Recreation Area, Nattai, NSW, AU",-34.06886383,150.448425,,https://www.inaturalist.org/observations/38212925,gtaseski,5,,FALSE,Angophora,38212925,0
Angophora costata,2020-02-05 14:08:38 +1100,,"Kurnell NSW 2231, Australia",-34.00311342,151.222165,,https://www.inaturalist.org/observations/38316402,nathanlgs,19,,FALSE,Angophora,38316402,2
Angophora costata,2020-02-05 11:03:00 +1100,Regrowth after fires,"Mangrove Mountain NSW 2250, Australia",-33.29548527,151.1985516,,https://www.inaturalist.org/observations/38320427,veezy,61,,FALSE,Angophora,38320427,0
Angophora costata,2020-02-05 14:08:28 +1100,,"Kamay Botany Bay National Park, Kurnell, NSW, AU",-34.00323829,151.2222071,,https://www.inaturalist.org/observations/38375663,hsauquet,5,,FALSE,Angophora,38375663,0
Angophora costata,2020-02-10 09:37:14 +1100,,"Berowra Valley Regional Park, Hornsby Heights, NSW, AU",-33.64222252,151.1117618,,https://www.inaturalist.org/observations/38483442,allanasheard,8,,FALSE,Angophora,38483442,0
Angophora floribunda,2020-02-24 17:37:19 +1100,,"Spring Reserve, Spring Farm, NSW, AU",-34.06985833,150.721725,,https://www.inaturalist.org/observations/39180621,gtaseski,5,,FALSE,Angophora,39180621,2
Angophora subvelutina,2020-03-01 11:50:00 +1000,Broad leaved apple,"West Haldon QLD 4359, Australia",-27.77202217,152.0908666,,https://www.inaturalist.org/observations/39389725,martinbennett,NA,,FALSE,Angophora,39389725,0
Angophora subvelutina,2020-03-01 12:34:00 +1000,Broad leaved apple,"West Haldon QLD 4359, Australia",-27.78364994,152.1378472,,https://www.inaturalist.org/observations/39389803,martinbennett,NA,,FALSE,Angophora,39389803,0
Angophora costata,2020-03-07 15:38:21 +1100,,"Lawsons Lookout Track, Springwood, NSW, Australia",-33.70656154,150.5661522,,https://www.inaturalist.org/observations/39637096,helen_y,5,,FALSE,Angophora,39637096,0
Angophora subvelutina,2020-03-08 10:30:16 +1100,,"Camden Bypass, Elderslie, NSW, AU",-34.07086117,150.7008967,,https://www.inaturalist.org/observations/39680917,gtaseski,18,,FALSE,Angophora,39680917,2
Angophora floribunda,2020-03-08 10:30:30 +1100,,"Camden Bypass, Elderslie, NSW, AU",-34.07095283,150.7007617,,https://www.inaturalist.org/observations/39681080,gtaseski,7,,FALSE,Angophora,39681080,2
Angophora costata,2010-08-29 21:27:00 -0700,,"Blue Mountains, NSW, Australia",-33.63464469,150.5561092,Blue Mountains,https://www.inaturalist.org/observations/40041024,sarah-mae,46047,,FALSE,Angophora,40041024,0
Angophora costata,2020-03-17 14:15:46 +1100,San Jose fire trail Lawson NSW,"Unnamed Road, Lawson NSW 2783, Australia",-33.71119167,150.4318683,,https://www.inaturalist.org/observations/40113722,lizlooking,8,,FALSE,Angophora,40113722,0
Angophora woodsiana,2020-03-07 08:38:00 +1000,,"Springwood, Queensland, Australia",-27.62403694,153.1419971,,https://www.inaturalist.org/observations/40162853,christianperrin,200,,FALSE,Angophora,40162853,0
Angophora floribunda,2020-01-30 15:20:00 +1100,"In flower 30 January after fire on 21 December 2019. Angophora floribunda didn't appear to burn as strongly/less of a crown fire compared to other Eucalypts in area, providing valuable nectar for birds and animals after the fire.","Newnes NSW 2790, Australia",-33.19525528,150.2466278,,https://www.inaturalist.org/observations/40264002,chrisjonkers,NA,,FALSE,Angophora,40264002,1
